Year,"Country of Asylum","Country of Origin","Country of Resettlement","Country of Asylum ISO","Country of Origin ISO","Country of Resettlement ISO",Total
2021,Thailand,Myanmar,"United States of America",THA,MMR,USA,292
2021,Thailand,Pakistan,"New Zealand",THA,PAK,NZL,21
2021,Thailand,"Syrian Arab Rep.",Australia,THA,SYR,AUS,5
2021,Thailand,"Unknown ",Australia,THA,UNK,AUS,16
2021,Thailand,"Unknown ",Canada,THA,UNK,CAN,20
2021,Thailand,"Unknown ",Finland,THA,UNK,FIN,4
2021,Thailand,"Unknown ","United Kingdom of Great Britain and Northern Ireland",THA,UNK,GBR,2
2021,Thailand,"Unknown ","United States of America",THA,UNK,USA,27
2022,Thailand,Cambodia,Australia,THA,KHM,AUS,10
2022,Thailand,Cambodia,Canada,THA,KHM,CAN,55
2022,Thailand,Cambodia,"United States of America",THA,KHM,USA,32
2022,Thailand,"State of Palestine",Canada,THA,PSE,CAN,54
2022,Thailand,"State of Palestine","United States of America",THA,PSE,USA,5
2022,Thailand,Iraq,Australia,THA,IRQ,AUS,6
2022,Thailand,Myanmar,Australia,THA,MMR,AUS,35
2022,Thailand,Myanmar,Canada,THA,MMR,CAN,17
2022,Thailand,Myanmar,"New Zealand",THA,MMR,NZL,17
2022,Thailand,Myanmar,"United States of America",THA,MMR,USA,320
2022,Thailand,Pakistan,Australia,THA,PAK,AUS,77
2022,Thailand,Pakistan,Canada,THA,PAK,CAN,34
2022,Thailand,Pakistan,"United States of America",THA,PAK,USA,15
2022,Thailand,Somalia,Australia,THA,SOM,AUS,9
2022,Thailand,"Unknown ",Australia,THA,UNK,AUS,65
2022,Thailand,"Unknown ",Canada,THA,UNK,CAN,65
2022,Thailand,"Unknown ","United Kingdom of Great Britain and Northern Ireland",THA,UNK,GBR,22
2022,Thailand,"Unknown ","Netherlands (Kingdom of the)",THA,UNK,NLD,3
2022,Thailand,"Unknown ","New Zealand",THA,UNK,NZL,2
2022,Thailand,"Unknown ","United States of America",THA,UNK,USA,31
2023,Thailand,Afghanistan,Canada,THA,AFG,CAN,8
2023,Thailand,Afghanistan,"United States of America",THA,AFG,USA,13
2023,Thailand,"State of Palestine",Australia,THA,PSE,AUS,11
2023,Thailand,"State of Palestine",Canada,THA,PSE,CAN,11
2023,Thailand,Myanmar,Australia,THA,MMR,AUS,36
2023,Thailand,Myanmar,Canada,THA,MMR,CAN,31
2023,Thailand,Myanmar,"New Zealand",THA,MMR,NZL,21
2023,Thailand,Myanmar,"United States of America",THA,MMR,USA,1162
2023,Thailand,Pakistan,Australia,THA,PAK,AUS,78
2023,Thailand,Pakistan,Canada,THA,PAK,CAN,5
2023,Thailand,Pakistan,"United States of America",THA,PAK,USA,110
2023,Thailand,Somalia,"United States of America",THA,SOM,USA,5
2023,Thailand,"Viet Nam",Australia,THA,VNM,AUS,5
2023,Thailand,"Viet Nam",Canada,THA,VNM,CAN,30
2023,Thailand,"Viet Nam","New Zealand",THA,VNM,NZL,7
2023,Thailand,"Viet Nam","United States of America",THA,VNM,USA,82
2023,Thailand,"Syrian Arab Rep.","United States of America",THA,SYR,USA,7
2023,Thailand,"Unknown ",Australia,THA,UNK,AUS,42
2023,Thailand,"Unknown ",Canada,THA,UNK,CAN,10
2023,Thailand,"Unknown ",Finland,THA,UNK,FIN,1
2023,Thailand,"Unknown ","United Kingdom of Great Britain and Northern Ireland",THA,UNK,GBR,10
2023,Thailand,"Unknown ","United States of America",THA,UNK,USA,32
2024,Thailand,Cambodia,Australia,THA,KHM,AUS,17
2024,Thailand,Cambodia,"United States of America",THA,KHM,USA,76
2024,Thailand,"Iran (Islamic Rep. of)",Australia,THA,IRN,AUS,5
2024,Thailand,Myanmar,Australia,THA,MMR,AUS,90
2024,Thailand,Myanmar,Canada,THA,MMR,CAN,17
2024,Thailand,Myanmar,"New Zealand",THA,MMR,NZL,7
2024,Thailand,Myanmar,"United States of America",THA,MMR,USA,1093
2024,Thailand,Pakistan,Australia,THA,PAK,AUS,15
2024,Thailand,Pakistan,Canada,THA,PAK,CAN,17
2024,Thailand,Pakistan,"New Zealand",THA,PAK,NZL,8
2024,Thailand,Pakistan,"United States of America",THA,PAK,USA,98
2024,Thailand,"Viet Nam",Australia,THA,VNM,AUS,13
2024,Thailand,"Viet Nam",Canada,THA,VNM,CAN,10
2024,Thailand,"Viet Nam","New Zealand",THA,VNM,NZL,12
2024,Thailand,"Viet Nam","United States of America",THA,VNM,USA,90
2024,Thailand,"Unknown ",Australia,THA,UNK,AUS,7
2024,Thailand,"Unknown ",Canada,THA,UNK,CAN,11
2024,Thailand,"Unknown ","United Kingdom of Great Britain and Northern Ireland",THA,UNK,GBR,1
2024,Thailand,"Unknown ","New Zealand",THA,UNK,NZL,12
2024,Thailand,"Unknown ","United States of America",THA,UNK,USA,56
2025,Thailand,Myanmar,Australia,THA,MMR,AUS,253
2025,Thailand,Myanmar,Canada,THA,MMR,CAN,70
2025,Thailand,Myanmar,"Rep. of Korea",THA,MMR,KOR,56
2025,Thailand,Myanmar,"New Zealand",THA,MMR,NZL,8
2025,Thailand,Myanmar,"United States of America",THA,MMR,USA,142
2025,Thailand,Pakistan,Australia,THA,PAK,AUS,14
2025,Thailand,Pakistan,Canada,THA,PAK,CAN,7
2025,Thailand,"Syrian Arab Rep.",Australia,THA,SYR,AUS,5
2025,Thailand,"Unknown ",Australia,THA,UNK,AUS,25
2025,Thailand,"Unknown ",Canada,THA,UNK,CAN,29
2025,Thailand,"Unknown ","United States of America",THA,UNK,USA,1
2026,Thailand,Myanmar,Australia,THA,MMR,AUS,96
2026,Thailand,Myanmar,Canada,THA,MMR,CAN,17
2026,Thailand,Myanmar,"Rep. of Korea",THA,MMR,KOR,24
2026,Thailand,"Unknown ",Australia,THA,UNK,AUS,43
2026,Thailand,"Unknown ",Canada,THA,UNK,CAN,1
